Nationality,Counts,Longitude,Latitude
England,1655,-1.2649062,52.5310214
Germany,1195,10.4478313,51.1638175
Spain,1071,-4.8379791,39.3260685
Argentina,935,-64.9672817,-34.9964963
France,910,1.8883335,46.603354
Brazil,824,-53.2,-10.3333333
Italy,699,12.674297,42.6384261
Colombia,615,-72.9088133,4.099917
Japan,475,139.2394179,36.5748441
Netherlands,452,5.6343227,52.2434979
Sweden,394,14.5208584,59.6749712
China PR,390,-70.7136479,-16.6913897
Chile,388,-71.3187697,-31.7613365
Republic of Ireland,368,-7.9794599,52.865196
Mexico,365,-102.0077097,23.6585116
United States,353,-100.445882,39.7837304
Poland,347,19.134422,52.215933
Norway,340,9.0999715,60.5000209
Saudi Arabia,336,42.3528328,25.6242618
Denmark,335,10.3333283,55.670249
Korea Republic,333,49.132971,55.8215537
Portugal,321,-8.1353519,39.6621648
Turkey,303,34.9249653,38.9597594
Austria,296,14.12456,47.59397
Scotland,283,-4.1140518,56.7861112
Belgium,259,4.6667145,50.6402809
Australia,234,134.755,-24.7761086
Switzerland,220,8.2319736,46.7985624
Uruguay,146,-56.0201525,-32.8755548
Senegal,130,-14.4529612,14.4750607
Wales,128,-3.73893,52.2928116
Serbia,126,20.55144,44.1534121
Croatia,126,17.0118954,45.5643442
Nigeria,121,7.9999721,9.6000359
Ghana,114,-1.0800271,8.0300284
Greece,100,21.9877132,38.9953683
Czech Republic,99,15.3381061,49.7439047
Ivory Coast,91,-5.5679458,7.9897371
Cameroon,88,13.1535811,4.6125522
Morocco,85,-7.3362482,31.1728205
Northern Ireland,79,-6.9591554,54.5859836
Ukraine,73,31.2718321,49.4871968
Russia,69,97.7453061,64.6863136
Finland,65,25.9209164,63.2467777
Paraguay,65,-58.1693445,-23.3165935
Bosnia Herzegovina,61,17.5961467,44.3053476
Algeria,60,2.9999825,28.0000272
Canada,59,-107.991707,61.0666922
Venezuela,59,-66.1109318,8.0018709
South Africa,55,24.991639,-28.8166236
Slovakia,54,19.4528646,48.7411522
DR Congo,52,23.8222636,-2.9814344
Slovenia,50,14.4808369,45.8133113
Mali,43,-2.2900239,16.3700359
Romania,41,24.6859225,45.9852129
Albania,39,19.9999619,41.000028
Iceland,38,-18.1059013,64.9841821
New Zealand,34,172.8344077,-41.5000831
Kosovo,33,20.9021231,42.5869578
Tunisia,32,9.400138,33.8439408
Jamaica,32,-77.3947693,18.1850507
Guinea,31,-10.7083587,10.7226226
Ecuador,31,-79.3666965,-1.3397668
Costa Rica,30,-84.0739102,10.2735633
Peru,30,-75.0458515,-6.8699697
Georgia,26,-83.1137366,32.3293809
Congo,25,23.8222636,-2.9814344
Montenegro,23,19.5180992,42.9868853
Hungary,22,19.5060937,47.1817585
Egypt,20,29.2675469,26.2540493
Cape Verde,19,-24.0083947,16.0000552
Iran,17,54.5643516,32.6475314
Honduras,16,-86.0755145,15.2572432
Burkina Faso,16,-1.6880314,12.0753083
Guinea Bissau,15,-14.9000214,12.100035
Gambia,15,-15.4900464,13.470062
Panama,15,-81.1308434,8.559559
Benin,15,2.2584408,9.5293472
Angola,15,17.5691241,-11.8775768
Gabon,15,11.6899699,-0.8999695
Israel,14,34.8594762,30.8124247
Curacao,14,-69.0408499890865,12.21339425
Zimbabwe,13,29.7468414,-18.4554963
Bulgaria,12,25.4856617,42.6073975
Madagascar,12,46.4416422,-18.9249604
Togo,12,1.0199765,8.7800265
Estonia,12,25.3319078,58.7523778
Armenia,10,44.6736646,40.7696272
Haiti,10,-72.3570972,19.1399952
Kenya,10,38.4313975,1.4419683
Zambia,9,27.5589884,-14.5189121
Syria,9,39.0494106,34.6401861
Luxembourg,8,6.1296751,49.8158683
Cyprus,8,33.1451285,34.9823018
Lithuania,8,23.7499997,55.3500003
Iraq,7,44.1749775,33.0955793
Uganda,6,32.2166578,1.5333554
Faroe Islands,6,-7.0322972,62.0448724
Latvia,6,24.7537645,56.8406494
Bolivia,6,-64.9912286,-17.0568696
Comoros,6,44.2832964,-12.2045176
Sierra Leone,6,-11.8400269,8.6400349
El Salvador,5,-88.9140683,13.8000382
Azerbaijan,5,47.7872508,40.3936294
Thailand,5,100.83273,14.8971921
Equatorial Guinea,5,10.5170357,1.613172
Moldova,5,28.5670941,47.2879608
Montserrat,4,-62.1916844,16.7417041
Antigua & Barbuda,4,-61.9554608,17.2234721
Kazakhstan,4,66.7780818,48.1012954
Afghanistan,4,66.2385139,33.7680065
Mauritania,4,-9.2399263,20.2540382
Suriname,4,-56.0771187,4.1413025
Belarus,4,27.6971358,53.4250605
Cuba,4,-80.8328748,23.0131338
Mozambique,4,34.9144977,-19.302233
Libya,4,18.1236723,26.8234472
Trinidad & Tobago,3,-61.0840075,10.7466905
Sudan,3,29.4917691,14.5844444
Guyana,3,-58.6416891,4.8417097
Barbados,3,-59.5250305,13.1500331
Namibia,3,17.3231107,-23.2335499
Niger,3,9.3238432,17.7356214
Guatemala,3,-90.345759,15.5855545
Burundi,3,29.9324519,-3.426449
Tanzania,3,35.7878438,-6.5247123
St Kitts Nevis,3,-62.6725973,17.250512
Liechtenstein,3,9.5531527,47.1416307
Eritrea,2,37.9999668,15.9500319
Chad,2,19.0156172,15.6134137
Philippines,2,122.7312101,12.7503486
Dominican Republic,2,-70.3028026,19.0974031
Uzbekistan,2,63.9528098,41.32373
Bermuda,2,-64.7561647,32.30382
Hong Kong,2,114.1628131,22.2793278
Kuwait,1,47.4979476,29.2733964
Jordan,1,36.941628,31.1667049
Rwanda,1,30.0644358,-1.9646631
Qatar,1,51.2295295,25.3336984
United Arab Emirates,1,53.9994829,24.0002488
Belize,1,-88.7600927,16.8259793
Andorra,1,1.5732033,42.5407167
Malta,1,14.4476911,35.8885993
Puerto Rico,1,-66.4858295,18.2247706
South Sudan,1,29.6667897,7.8699431
Indonesia,1,117.8902853,-2.4833826
Grenada,1,-61.6904045,12.1360374
Palestine,1,34.262716572130714,31.462420950000002
Ethiopia,1,38.6521203,10.2116702
St Lucia,1,-60.97792414113452,13.90904385
New Caledonia,1,165.4880773,-21.3019905
Oman,1,57.0036901,21.0000287
Lebanon,1,35.843409,33.8750629
Nicaragua,1,-85.2936911,12.6090157
São Tomé & Príncipe,1,-63.854835,-11.705617
Guam,1,144.75755102972062,13.450125700000001
Fiji,1,179.0122737,-18.1239696
Liberia,1,-9.3658524,5.7499721
Mauritius,1,57.5703566,-20.2759451
Botswana,1,24.5928742,-23.1681782
FYR Macedonia,20,21.745275,41.608635
Korea DPR,4,127.978462,37.663998
Central African Rep.,3,18.58198,4.36263
